                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.72947,                0.47107,                 1.1006,                0.98361,                0.98673,                0.99173,                  0.755,                0.84648,                0.43887,                 1.1407,              0.0006536,              0.0006536,              0.0006536
                     36,                0.70463,                0.46654,                 1.0952,                0.98645,                0.98673,                0.99417,                0.75416,                0.85263,                0.45084,                 1.1381,               0.000614,               0.000614,               0.000614
                     37,                0.70461,                0.46001,                 1.0993,                0.98607,                0.98673,                0.98722,                0.75361,                0.86115,                0.46101,                 1.1484,              0.0005744,              0.0005744,              0.0005744
                     38,                 0.6869,                0.44347,                   1.09,                0.99027,                0.98451,                0.99271,                0.76817,                 0.8462,                 0.4359,                 1.1415,              0.0005348,              0.0005348,              0.0005348
                     39,                0.68225,                0.44256,                 1.0886,                0.97991,                0.98673,                0.99125,                0.77272,                0.82786,                0.39956,                 1.1341,              0.0004952,              0.0004952,              0.0004952
                     40,                0.68658,                  0.447,                 1.0885,                0.98798,                0.98451,                0.99329,                0.76699,                 0.8474,                0.40354,                 1.1338,              0.0004556,              0.0004556,              0.0004556
                     41,                0.83804,                0.46675,                 1.0916,                0.98439,                0.98673,                 0.9942,                0.77155,                0.80463,                0.38134,                 1.0975,               0.000416,               0.000416,               0.000416
                     42,                0.82437,                0.43645,                 1.0782,                0.98658,                0.98894,                0.99439,                0.76222,                0.84456,                0.39186,                 1.1126,              0.0003764,              0.0003764,              0.0003764
                     43,                0.80642,                0.42218,                 1.0712,                0.98364,                0.98451,                0.99387,                0.78066,                0.82164,                0.38426,                 1.1144,              0.0003368,              0.0003368,              0.0003368
                     44,                 0.7941,                0.42205,                 1.0529,                0.98496,                0.98451,                0.99235,                0.77006,                0.79698,                0.39854,                 1.0973,              0.0002972,              0.0002972,              0.0002972
                     45,                0.79306,                0.41852,                 1.0609,                0.98744,                0.98451,                0.99375,                0.77739,                0.81344,                0.37391,                 1.1128,              0.0002576,              0.0002576,              0.0002576
                     46,                0.77703,                0.40587,                 1.0511,                0.98848,                0.98673,                0.99449,                 0.7901,                0.80969,                0.36998,                 1.1113,               0.000218,               0.000218,               0.000218
                     47,                0.75771,                0.39553,                 1.0514,                0.98457,                0.98836,                0.99427,                0.78345,                0.82328,                0.37639,                 1.1107,              0.0001784,              0.0001784,              0.0001784
                     48,                  0.745,                0.38767,                 1.0421,                0.98632,                0.98673,                 0.9942,                0.79097,                0.80432,                0.36868,                 1.0919,              0.0001388,              0.0001388,              0.0001388
                     49,                0.74513,                 0.3811,                 1.0393,                 0.9879,                0.98673,                0.99426,                0.79256,                0.80027,                0.36788,                  1.095,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.73334,                0.37738,                 1.0329,                 0.9881,                0.98673,                0.99419,                 0.7973,                 0.7888,                0.36084,                 1.0803,               5.96e-05,               5.96e-05,               5.96e-05
